name,age
Regina,5
Constance,2
Aubrie,19
Claudina,2
Brooks,4
Vere,19
Annabela,14
Justinn,11
Amara,16
Clary,20
Maurene,2
Juliane,5
Beatriz,19
Lorne,12
Ketti,17
Mariann,12
Candi,3
Camile,12
Letizia,17
Pollyanna,3
Micheline,5
Kore,12
Arabel,12
Kimmy,11
Dode,2
Brianna,10
Lacie,18
Fred,13
Augustine,12
Starla,5
Elena,15
Wilma,3
Lorie,18
Lorenza,10
Harrietta,17
Marti,4
Willetta,10
Malina,14
Ebonee,3
Margalo,16
Nariko,10
Michaelina,17
Raf,20
Berget,10
Corene,16
Courtnay,11
Shaine,7
Lanae,7
Chastity,20
Josephine,3
Aimil,10
Beth,3
Sibella,14
Andree,11
Sara-Ann,11
Collen,10
Asia,2
Cherrita,17
Marylou,2
Dacia,12
Melodie,14
Lynde,10
Caryl,17
Christy,20
Gianina,10
Gale,17
Carmela,17
Goldie,20
Romona,1
Britte,13
Dorice,1
Margette,12
Dacia,5
Teriann,15
Phylis,4
Mellicent,6
Dennie,9
Kellen,12
Kial,8
Glenda,20
Maye,8
Bill,12
Sissy,13
Bobinette,9
Georgina,19
Annecorinne,8
Dianemarie,6
Lelah,17
Valeda,13
Alyssa,8
Mamie,15
Abbie,12
Cecile,6
Corly,19
Gianina,19
Blake,20
Daune,9
Aryn,13
Lory,3
Zaria,12
Kayla,15
Jasmina,16
Tami,18
Nerta,19
Olivette,15
Cecile,9
Britte,19
Winny,5
Elbertina,12
Helsa,18
Maurene,12
Romona,5
Donetta,18
Ninnetta,13
Marcelline,2
Feliza,4
Gianina,15
Clarice,13
Leeanne,8
Cyb,2
Madalyn,7
Jordan,1
Amalie,17
Cacilie,3
Nadine,4
Cathyleen,6
Reeba,13
Malina,4
Orsola,4
Modestia,2
Daune,8
Jessy,11
Cecile,13
Sandie,14
Kylynn,18
Cissiee,6
Letizia,3
Codie,14
Zsa Zsa,18
Rozele,6
Tobe,3
Bobbi,5
Marcy,14
Darci,8
Goldie,8
Rosaline,4
Penelopa,19
Tybie,8
Margalo,7
Meriel,16
Zia,10
Romona,17
Michaelina,12
Nessie,5
Ayn,14
Roxane,15
Kate,18
Ekaterina,4
Patricia,2
Kellen,19
Rozele,7
Lilith,8
Silvana,1
Harrietta,10
Lacie,2
Constance,3
Neila,8
Tera,11
Aeriela,14
Natka,2
Joy,20
Magdalena,13
Silvana,20
Rubie,12
Johna,6
Fina,10
Merle,19
Melina,2
Nicoli,8
Lorne,7
Jeanna,14
Ofilia,14
Helena,11
Agathe,3
Gwyneth,7
Althea,16
Letizia,20
Mureil,7
Bettine,3
Gui,19
Dorene,7
Coral,16
Shaylyn,1
Damaris,5
Winny,5
Nicoli,16
Patricia,16
Gratia,17
Margette,17
Sonni,15
Tami,5
Mignon,17
Celene,19
Michaelina,16
Bibby,5
Noelle,18
Lynde,6
Georgina,4
Dari,18
Corina,20
Genovera,17
Jennica,16
Alejandra,20
Barbara,1
Jerry,12
Gretal,4
Valli,1
Theodora,10
Janeczka,6
Fernande,4
Dorice,2
Penelopa,10
Sonni,14
Magdalena,11
Jacquetta,14
Elka,17
Emmey,1
Kristina,5
Dyann,5
Lenna,2
Oralee,12
Giustina,14
Concettina,14
Bettine,18
Corina,15
Kimmy,5
Tiffie,17
Farrah,6
Pierette,19
Lanae,4
Donnie,10
Ezmeralda,17
Orsola,19
Tracey,10
Quintina,15
Joleen,8
Adriana,6
Anthia,4
Rori,14
Bernardine,10
Rozele,6
Diena,20
Arlena,16
Kittie,15
Rosanne,13
Adele,14
Ethel,10
Bernardine,1
Arabel,17
Aeriela,9
Mariann,3
Ebonee,10
Caryl,14
Marline,8
Marylou,19
Esmeralda,12
Susan,13
Caressa,12
Jeanna,14
Marnia,16
Jan,6
Rochette,2
Kalina,20
Deane,16
Yolane,7
Marika,7
Chastity,1
Henriette,19
Marika,3
Myriam,7
Cyb,15
Cristine,17
Tobe,19
Carlie,3
Rozele,4
Frieda,5
Janis,18
Mellicent,20
Wynne,19
Iseabal,11
Kirbee,6
Sindee,13
Nariko,16
Mireielle,10
Nelle,19
Roxane,18
Randa,15
Jackie,17
Phylis,3
Antonietta,12
Nadine,17
Aurelie,8
Philis,4
Katleen,2
Cathyleen,10
Cristine,16
Aeriela,18
Sophia,4
Therine,3
Jaclyn,1
Aeriela,9
Brianna,16
Shannah,11
Josephine,13
Betta,13
Daune,3
Maud,13
Modestia,20
Elka,20
Sheelagh,7
Nerta,10
Stevana,4
Paulita,3
Myrtice,8
Dacia,14
Tabbatha,20
Shirlee,6
Jean,8
Madalyn,14
Joy,1
Christy,13
Cordi,4
Robinia,4
Lyssa,20
Joeann,19
Arlina,13
Dolli,19
Lisette,16
Nickie,17
Brianna,20
Deirdre,3
Arlina,20
Damaris,10
Sibella,6
Emilia,2
Merrie,12
Suzette,11
Gertrud,11
Arabel,11
Lonnie,5
Violet,1
Di,2
Ira,15
Zaria,11
Ursulina,13
Atlanta,13
Tori,19
Brietta,13
Fred,7
Emylee,14
Sabina,2
Zondra,9
Natka,1
Fina,17
Aubrie,3
Rhoda,9
Kenna,14
Courtnay,7
Lynde,15
Rani,20
Nicoli,14
Tarra,5
Gertrud,6
Karina,8
Hayley,5
Cyndie,3
Livvyy,15
Raina,3
Libbie,19
Lilith,13
Liana,8
Halette,20
Hannis,13
Kalina,4
Cacilie,4
Sindee,5
Janenna,10
Nita,16
Letizia,1
Penelopa,11
Winifred,2
Dianemarie,1
Chere,17
Magdalena,10
Starla,11
Justinn,11
Blinni,1
Lynea,9
Lanna,15
Donetta,2
Chastity,16
Sarette,6
Danika,5
Cecile,8
Ilse,14
Willetta,18
Marnia,20
Hollie,18
Alleen,9
Doralynne,20
Odessa,6
Marnia,7
Gaylene,18
Fidelia,20
Anestassia,3
Candy,7
Sarette,7
Christy,16
Atlanta,12
Loree,3
Vinita,7
June,6
Gwenneth,3
Joelly,18
Binny,11
Fernande,3
Riannon,10
Tersina,8
Aurore,9
Priscilla,16
Jinny,5
Mireielle,11
Chickie,15
Quintina,18
Rosabelle,3
Gaylene,5
Renie,15
Katleen,11
Ezmeralda,19
Hermione,4
Gisela,15
Rosene,13
Elyssa,15
Tani,18
Donnie,20
Hope,6
Hallie,19
Jaclyn,6
Brena,17
Fernande,10
Konstance,11
Jany,6
Blake,7
Joleen,5
Glynnis,11
Maryellen,10
Tierney,4
Merrie,6
Marcelline,14
Neila,8
Joelly,16
Elise,13
Nananne,3
Elora,4
Bernie,2
Alisha,13
Fawne,2
Kayla,13
Shannah,1
Bibby,9
Nollie,2
Kaia,4
Sabina,5
Lauryn,15
Steffane,12
Dominga,11
Abbie,4
Felice,2
Tobe,12
Ekaterina,18
Ofilia,18
Agathe,9
Goldie,7
Eugine,10
Alyssa,9
Di,20
Kristan,1
Almeta,12
Alexine,15
Jaime,12
Meriel,2
Sheelagh,13
Sashenka,17
Kassey,6
Genevra,16
Karena,4
Lita,10
Calla,20
Atlanta,19
Almeta,20
Shel,1
Vanessa,9
Adore,5
Merle,18
Kayla,10
Gale,17
Yolane,11
Janis,6
Lonnie,17
Kathi,4
Joleen,2
Letizia,17
Christal,6
Aigneis,3
Cindelyn,3
Charlena,2
Marnia,16
Willetta,7
Sheelagh,1
Robinia,18
Vinita,7
Justinn,6
Beth,17
Ketti,7
Sophia,9
Kathi,7
Corene,18
Philis,8
Tani,17
Veda,15
Jessy,13
Madalyn,20
Emelina,15
Netty,7
Georgina,17
Yetty,20
Catrina,12
Carmela,4
Ricky,17
Linet,8
Odessa,12
Iseabal,14
Alia,1
Consuela,9
Leanna,15
Mathilda,9
Tamqrah,7
Karolina,15
Gaylene,2
Tera,1
Nannie,17
Cassandra,7
Dione,16
Ira,4
Gilligan,7
Jordan,7
Aubrie,19
Elbertina,5
Cristine,2
Hannis,10
Ivett,6
Marika,3
Cindelyn,6
Charlena,6
Nanete,12
Roseline,8
Wilma,19
Joy,3
Eugine,6
Damaris,15
Joane,8
Christal,20
Belva,3
Kara-Lynn,9
Ira,9
Sabina,16
Kathy,12
Lorenza,10
Raquela,4
Yolane,20
Frieda,18
Constance,17
Minda,8
Margette,7
Shandie,4
Frank,10
Shauna,5
Ethel,5
Tybie,9
Clo,7
Coral,2
Nelle,3
Jany,10
Cissiee,1
Meg,6
Hope,7
Ezmeralda,2
Felice,16
Paola,19
Janey,16
Rani,20
Rhoda,8
Mallory,8
Harmonia,18
Marguerite,1
Joeann,11
Yvonne,4
Esmeralda,7
Berget,13
Jeanna,2
Bettine,15
Jaclyn,17
Georgetta,17
Veda,20
Consuela,16
Blondelle,14
Linzy,12
Elena,2
Hollie,15
Nariko,10
Amara,6
Lindie,18
Lulita,17
Ekaterina,10
Dawn,14
Viki,14
Donetta,10
Nikki,5
Regina,17
Belinda,20
Christal,6
Lisette,7
Netty,14
Shirlee,10
Gisela,11
Marleah,7
Noelle,18
Mahalia,3
Violet,14
Rori,17
Wileen,7
Katleen,2
Devina,19
Elie,3
Iseabal,16
Latisha,13
Rozele,12
Luci,6
Molli,18
Anallese,4
Mahalia,15
Deloria,18
Dale,8
Lesly,10
Cristabel,13
Netty,9
Elsie,2
Cherrita,4
Therine,1
Rayna,4
Amii,2
Alleen,11
Jenilee,1
Keelia,12
Aimil,20
Dorene,8
Peri,20
Dania,12
Lisette,11
Trixi,16
Fawne,4
Adele,17
Riannon,15
Alia,14
Michaelina,1
Ketti,7
Desirae,15
Dyann,20
Karlee,19
Tonia,10
Evita,14
Karina,20
Emelina,13
Nannie,1
Blinni,9
Elbertina,2
Kristina,7
Louella,20
Philis,15
Joceline,19
Laure,10
Ileana,6
Lusa,6
Ezmeralda,8
Chandra,16
Valera,6
Gwyneth,10
Rayna,1
Jenda,2
Christy,19
Corina,12
Ottilie,1
Berta,19
Madeleine,6
Alejandra,15
Jacenta,19
Minda,6
Dawn,9
Evita,1
Louella,14
Amalie,4
Doralynne,16
Ida,20
Wileen,18
Jessamyn,16
Tera,1
Lynea,7
Melina,18
Eolanda,13
Heddie,10
June,2
Glynnis,14
Emma,20
Olivette,19
Joeann,16
Emma,2
Etta,12
Imojean,6
Susan,1
Rhea,7
Tamqrah,14
Romona,7
Magdalena,13
Dania,6
Phylis,10
Elie,5
Brynna,12
Kara-Lynn,15
Diena,6
Lusa,16
Elka,12
Gloria,4
Kayla,10
Ernesta,10
Rebeca,2
Keelia,14
Tiffie,2
Nannie,3
Miquela,17
Jsandye,2
Robinia,4
Sherrie,2
Mireielle,15
Vanessa,20
Leontine,20
Delilah,14
Melanie,11
Coral,11
Verla,16
Misha,6
Tami,1
Kirstin,17
Basia,16
Nonnah,14
Raina,13
Jerry,8
Deane,15
Harmonia,14
Shell,1
Olivette,8
Gerrie,3
Jenda,17
Madelle,3
Marjie,20
Mamie,17
Cassondra,9
Shaylyn,15
Misha,13
Roberta,19
Beatriz,1
Mellicent,7
Amelia,16
Allyce,1
Vere,10
Gusella,4
Alyda,13
Marleah,19
Meriel,20
Anthia,14
Yetty,8
Eve,14
Lanae,6
Kerrin,9
Annora,16
Sara-Ann,4
Kimberley,16
Phedra,2
Jany,19
Agathe,1
Lyssa,15
Janey,18
Nannie,9
Karolina,17
Ardenia,12
Kirstin,16
Tonia,14
Anthia,1
Bibby,2
Konstance,15
Anallese,8
Gloria,13
Marnia,9
Ethel,3
Meghann,2
Joceline,17
Kial,16
Dotty,6
Vere,7
Ana,13
Marline,18
Jillayne,2
Nyssa,6
Sheelagh,20
Britni,12
Hyacinthe,14
Shandie,17
Violet,15
Alie,5
Merrie,17
Jsandye,19
Georgina,14
Berta,10
Bobinette,4
Adore,12
Feliza,4
Ofilia,9
Tobe,20
Brandise,17
Cherrita,15
Maisey,1
Dennie,3
Carly,18
Ardeen,1
Merci,17
Candi,1
Nariko,2
Ronna,14
Elora,2
Jenda,4
Ileana,3
Sibella,5
Corene,17
Trixi,13
Bobbi,15
Jacenta,10
Rosene,4
Noelle,5
Lulita,4
Karolina,6
Karina,20
Carilyn,3
Laurene,3
Hettie,11
Cacilie,10
Hermione,7
Caressa,6
Constance,13
Kary,16
Ashlee,3
Constance,8
Brana,20
Rani,16
Margarette,4
Orsola,18
Monika,13
Delilah,1
Dawn,20
Melisent,17
Janey,8
Nariko,11
Ileana,1
Daune,12
Gwenneth,10
Oralee,14
Andree,12
Lelah,4
Lexine,10
Dominga,16
Fawne,3
Queenie,15
Alisha,1
Lenna,20
Danika,9
Rosene,5
Xylina,10
Damaris,15
Gusty,7
June,17
Chandra,7
Basia,5
Madalyn,11
Ayn,2
Gilda,10
Aurelie,10
Christian,6
Shirlee,2
Agnese,3
Candy,5
Xylina,4
Sabina,4
Anallese,6
Elie,15
Rori,15
Norine,11
Sonni,15
Merci,19
Henriette,8
Jerry,7
Alia,11
Minne,9
Vanessa,17
Jillayne,10
Aaren,3
Yetty,19
Janey,13
Consuela,18
Dotty,3
Chloris,12
Vinita,16
Ana,3
Johna,8
Tabbatha,4
Ekaterina,12
Albertina,16
Annaliese,20
Cyb,10
Viviene,12
Oona,3
Melodie,15
Belva,15
Felice,17
Marti,2
Flo,19
Augustine,11
Viviene,14
Frieda,17
Meriel,3
Claudina,5
Berta,7
Vanessa,12
Fredericka,9
Dione,9
Kirstin,14
Sean,8
Collen,14
Tonia,13
Leeanne,13
Helsa,1
Dennie,14
Vere,15
Leia,5
Dawn,7
Fawne,13
Joceline,20
Phedra,5
Christal,4
Vivia,12
Ida,6
Andree,14
Tonia,16
Olwen,5
Almeta,9
Elise,5
Carmencita,7
Marika,4
Arlena,9
Gwyneth,4
Sallie,11
Karina,19
Elfreda,13
Cordi,12
Arlena,7
Siana,16
Chloris,8
Lisette,13
Caressa,12
Teddie,3
Minne,10
Roslyn,16
Bernardine,16
Elbertina,14
Melina,12
Beatriz,20
Ardys,8
Viki,5
Helena,17
Brana,4
Britni,20
Daune,19
Mamie,1
Ekaterina,18
Tera,20
Rubie,2
Jordan,18
Celestyna,18
Krystle,3
Cyb,14
Beth,19
Sadie,3
Gianina,19
Cissiee,6
Sheree,11
Therine,17
Harmonia,10
Ursulina,3
Robinia,5
Basia,1
Lorne,13
Grier,11
Arabel,11
Winifred,16
Sandie,10
Fredericka,2
Valera,6
Tomasina,8
Jacquetta,3
Ira,2
Daphne,2
Melanie,18
Riannon,18
Joy,12
Merry,9
Jsandye,5
Sybille,1
Mamie,4
Nikki,3
Penelopa,11
Mamie,16
Nonnah,14
Shaylyn,1
Mildrid,14
Ninnetta,7
Jaime,16
Halette,4
Anestassia,5
Julieta,9
Flory,14
Jackie,20
Starla,18
Rosabelle,5
Babita,4
Alexine,1
Elsie,1
Clarice,8
Margarette,17
Sheree,20
Tersina,18
Charissa,10
Pollyanna,19
Edyth,17
Isa,16
Kittie,12
Fina,17
Ethel,11
Bill,3
Halette,20
Eadie,6
Petronia,20
Liana,14
Devina,1
Fernande,20
Minda,8
Anallese,19
Noelle,10
Jenda,1
Cyndie,6
Morganica,11
Gaylene,13
Elena,1
Lesly,19
Oralee,1
Loree,3
Kirstin,6
Magdalena,16
Delilah,17
Roseline,3
Deirdre,16
Annabela,10
Tomasina,17
Lolita,9
Constance,16
Melina,5
Brynna,1
Yvonne,14
Ardeen,16
Dania,17
Dorice,18
Carmencita,2
Lorie,6
Jolyn,11
Ericka,5
Almeta,17
Raina,12
Leeanne,16
Dari,14
Susan,11
Thalia,9
Delilah,2
Shauna,12
Danika,14
Nerta,13
Mariele,14
Taffy,8
Cissiee,5
Linzy,15
Tami,15
Tiffie,15
Flory,4
Ermengarde,18
Rori,16
Trudie,4
Mamie,11
Liana,10
Linzy,6
Lorne,19
Heddie,9
Alameda,13
Charissa,1
Carmela,14
Selia,11
Lilith,11
Christian,8
Nataline,7
Viviene,14
Robbi,10
Olivette,3
Kamilah,8
Edith,17
Ashlee,15
Libbie,15
Fredericka,14
Tani,17
Georgina,9
Andree,7
Robbi,1
Zia,4
Lynea,13
Sabina,2
Ingrid,18
Celene,1
Heida,14
Basia,14
Katleen,6
Eolanda,17
Marcelline,1
Nananne,3
Clo,15
Kathi,9
Gusella,16
Joy,14
Caryl,7
Janeczka,3
Reeba,9
Frank,8
Kalina,10
Margette,9
Perry,15
Selia,11
Nataline,14
Dominga,18
Kaia,19
Ana,18
Mallory,5
Meghann,8
Inga,17
Trudie,2
Gratia,3
Odessa,8
Eadie,11
Jsandye,12
Jenda,13
Krystle,17
Rozele,3
Shannah,1
Vonny,8
Laure,1
Rosene,16
Brooks,8
Estell,15
Fanchon,4
Konstance,6
Hildegaard,17
Fanny,15
Karolina,7
Jerry,20
Marti,5
Corina,11
Jacenta,18
Andeee,13
Etta,7
Agathe,9
Noelle,8
Regina,3
Dennie,19
Hildegaard,6
Shaylyn,6
Albertina,9
Felice,15
Sadie,13
Mara,2
Caryl,9
Ira,15
Britte,10
Celene,14
Josephine,20
Robinia,16
Nickie,8
Dominga,17
Dale,20
Liana,5
Alejandra,17
Penelopa,18
Aryn,9
Jessamyn,1
Candi,19
Hyacinthe,8
Coral,18
Jacquetta,8
Albertina,4
Aryn,2
Ida,7
Madeleine,2
Kathi,13
Chandra,8
Rosaline,5
Elvira,7
Josephine,9
Gale,14
Bernardine,8
Allis,9
Annice,9
Blake,4
Adriana,3
Arabel,10
Lory,7
Albertina,20
Tatiania,9
Dorice,20
Taffy,2
Reeba,16
Brana,3
Gilda,13
Karina,9
Gisela,16
Kalina,17
Alexine,14
Damaris,20
Sean,16
Althea,8
Johna,16
Lolita,5
Marika,10
Georgetta,18
Antonietta,10
Albertina,6
Gusella,4
Kary,18
Lolita,13
Angela,15
Queenie,4
Annecorinne,8
Maurene,10
Selia,4
Jaclyn,3
Sandie,12
Felice,9
Silvana,5
Eve,1
Romona,7
Karolina,12
Kylynn,17
Karena,12
Dawn,1
Raina,13
Bobinette,13
Maurene,10
Josephine,20
Kary,4
Emma,18
Mara,1
Nita,3
Yolane,6
Selma,14
Eugine,2
Helsa,3
Lanae,20
Fred,4
Madalyn,10
Maryellen,14
Myrtice,6
Hettie,8
Dorice,6
Dulcinea,18
Vonny,11
Rori,6
Dolli,16
Trixi,12
Marylou,15
Asia,17
Briney,17
Angela,4
Addia,14
Margalo,15
Amara,9
Eugine,7
Lanna,2
Tina,16
Loree,8
Brianna,12
Rochette,11
Katharina,15
Hollie,13
Adele,20
Dorothy,19
Dorthy,17
Raina,13
Renae,12
Rosanne,5
Kara-Lynn,14
Genevra,4
Anallese,7
Merry,4
Kassey,3
Marleah,14
Rhoda,19
Gusella,17
Lily,9
Brynna,1
Fawne,5
Elfreda,6
Janenna,14
Nessie,19
Melina,3
Kalina,14
Maryellen,9
Anica,17
Chandra,9
Atlanta,10
Claresta,10
Leia,16
Charissa,15
Marika,15
Brooks,17
Mallory,8
Dagmar,10
Gui,18
Edith,14
Lilith,6
Mellicent,12
Gianina,18
Tierney,8
Oona,13
Doro,15
Shaine,19
Noelle,16
Laurene,17
Teddie,4
Wanda,16
Dolli,16
Lita,18
Marleah,5
Reeba,5
Brianna,4
Constance,2
Aubrie,8
Carmencita,19
Blinni,11
Luci,2
Iseabal,3
Anthia,2
Aigneis,13
Petronia,2
Alejandra,1
Kathi,15
Lanna,9
Nickie,19
Basia,11
Dulce,13
Estell,16
Dorthy,3
Modestia,16
Dari,7
Binny,2
Marti,20
Florie,5
Natka,17
Marjie,5
Ivett,7
Judy,6
Vere,14
Addia,20
Kylynn,7
Trixi,7
Bobinette,7
Ketti,11
Ardys,9
Courtnay,7
Brynna,11
Hannis,13
Lelah,10
Ingrid,1
Suzette,19
Vanessa,16
Kellen,19
Gwyneth,2
Ayn,15
Aryn,17
Cam,19
Roxane,7
Lonnie,4
Belva,9
Cathyleen,15
Mary,1
Belva,4
Chloris,7
Grier,14
Elsie,15
Henriette,10
Orelia,18
Rosene,11
Petronia,13
Jemie,14
Danny,9
Tani,5
Stephanie,8
Nikki,20
Morganica,5
Feliza,13
Nariko,3
Kore,15
Shannah,14
Stevana,14
Dania,14
Sharai,17
Georgina,4
Natka,5
Katharina,18
Tybie,13
Queenie,2
Krystle,15
Ariela,17
Lynnea,12
Susette,2
Halette,14
Madelle,3
Vere,20
Lolita,10
Carmela,15
Viviene,17
Sidoney,2
Ursulina,3
Claresta,12
Tiffie,9
Karina,11
Nelle,14
Celisse,18
Wileen,2
Mady,10
June,12
Elfreda,12
Maridel,15
